Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 11 [10240/49000 (21%)]	Train Loss: 7.432234	Val Loss: 8.545104	Val Acc: 14
Train Epoch: 11 [12800/49000 (26%)]	Train Loss: 7.737260	Val Loss: 8.235299	Val Acc: 15
Train Epoch: 11 [15360/49000 (31%)]	Train Loss: 7.286058	Val Loss: 8.029755	Val Acc: 13
Train Epoch: 11 [17920/49000 (36%)]	Train Loss: 8.262886	Val Loss: 8.704859	Val Acc: 11
Train Epoch: 11 [20480/49000 (42%)]	Train Loss: 7.379620	Val Loss: 8.567992	Val Acc: 14
Train Epoch: 11 [23040/49000 (47%)]	Train Loss: 9.376451	Val Loss: 8.550245	Val Acc: 15
Train Epoch: 11 [25600/49000 (52%)]	Train Loss: 6.999675	Val Loss: 8.213027	Val Acc: 13
Train Epoch: 11 [28160/49000 (57%)]	Train Loss: 7.311591	Val Loss: 7.909781	Val Acc: 13
Train Epoch: 11 [30720/49000 (62%)]	Train Loss: 7.573005	Val Loss: 7.775642	Val Acc: 13
Train Epoch: 11 [33280/49000 (68%)]	Train Loss: 7.795811	Val Loss: 8.446226	Val Acc: 14
Train Epoch: 11 [35840/49000 (73%)]	Train Loss: 8.433414	Val Loss: 7.904546	Val Acc: 14
Train Epoch: 11 [38400/49000 (78%)]	Train Loss: 7.894847	Val Loss: 7.512891	Val Acc: 13
Train Epoch: 11 [40960/49000 (83%)]	Train Loss: 7.319183	Val Loss: 7.955760	Val Acc: 15
Train Epoch: 11 [43520/49000 (89%)]	Train Loss: 6.509311	Val Loss: 7.327085	Val Acc: 13
Train Epoch: 11 [46080/49000 (94%)]	Train Loss: 8.484430	Val Loss: 8.465762	Val Acc: 13
Train Epoch: 11 [48640/49000 (99%)]	Train Loss: 7.245388	Val Loss: 7.517490	Val Acc: 14
Train Epoch: 12 [0/49000 (0%)]	Train Loss: 34.315514	Val Loss: 7.468980	Val Acc: 14
Train Epoch: 12 [2560/49000 (5%)]	Train Loss: 7.690511	Val Loss: 8.375971	Val Acc: 11
Train Epoch: 12 [5120/49000 (10%)]	Train Loss: 7.598496	Val Loss: 9.153282	Val Acc: 10
Train Epoch: 12 [7680/49000 (16%)]	Train Loss: 7.710922	Val Loss: 8.396435	Val Acc: 14
Train Epoch: 12 [10240/49000 (21%)]	Train Loss: 6.874608	Val Loss: 8.454092	Val Acc: 14
Train Epoch: 12 [12800/49000 (26%)]	Train Loss: 8.281785	Val Loss: 8.644498	Val Acc: 13
Train Epoch: 12 [15360/49000 (31%)]	Train Loss: 9.044674	Val Loss: 8.609287	Val Acc: 13
Train Epoch: 12 [17920/49000 (36%)]	Train Loss: 7.766646	Val Loss: 9.558562	Val Acc: 11
Train Epoch: 12 [20480/49000 (42%)]	Train Loss: 7.362068	Val Loss: 8.695541	Val Acc: 12
Train Epoch: 12 [23040/49000 (47%)]	Train Loss: 8.178843	Val Loss: 8.668458	Val Acc: 12
